iter	Passed	Remaining
599	68226	45484
600	68333	45365
601	68451	45255
602	68573	45146
603	68679	45028
604	68797	44917
605	68909	44802
606	69023	44688
607	69131	44571
608	69244	44457
609	69345	44335
610	69444	44212
611	69540	44087
612	69653	43973
613	69763	43857
614	69887	43750
615	69998	43635
616	70105	43517
617	70214	43401
618	70321	43283
619	70439	43172
620	70549	43056
621	70650	42935
622	70773	42827
623	70888	42714
624	70998	42599
625	71099	42478
626	71224	42370
627	71333	42254
628	71424	42127
629	71533	42011
630	71644	41896
631	71747	41777
632	71860	41663
633	71983	41554
634	72093	41439
635	72177	41309
636	72275	41186
637	72374	41065
638	72491	40953
639	72601	40838
640	72713	40723
641	72822	40608
642	72936	40495
643	73043	40378
644	73144	40257
645	73264	40148
646	73391	40041
647	73491	39921
648	73609	39810
649	73721	39696
650	73823	39576
651	73937	39463
652	74041	39345
653	74174	39242
654	74300	39135
655	74411	39020
656	74516	38903
657	74634	38791
658	74737	38673
659	74844	38556
660	74964	38446
661	75063	38325
662	75160	38203
663	75262	38084
664	75381	37974
665	75497	37862
666	75603	37745
667	75716	37631
668	75825	37516
669	75924	37395
670	76062	37294
671	76172	37179
672	76279	37063
673	76382	36944
674	76508	36837
675	76621	36723
676	76734	36610
677	76863	36504
678	76964	36385
679	77084	36274
680	77196	36161
681	77315	36050
682	77423	35934
683	77539	35822
684	77639	35702
685	77733	35580
686	77848	35468
687	77949	35349
688	78059	35234
689	78168	35119
690	78280	35005
691	78385	34888
692	78497	34774
693	78606	34659
694	78723	34547
695	78812	34424
696	78915	34306
697	79026	34191
698	79143	34080
699	79253	33965
700	79368	33853
701	79489	33743
702	79604	33630
703	79715	33516
704	79817	33398
705	79929	33285
706	80052	33176
707	80162	33061
708	80262	32942
709	80377	32830
710	80494	32718
711	80611	32606
712	80725	32494
713	80814	32371
714	80922	32255
715	81017	32135
716	81144	32027
717	81255	31913
718	81368	31800
719	81488	31690
720	81603	31577
721	81697	31456
722	81800	31339
723	81895	31219
724	82008	31106
725	82131	30997
726	82239	30882
727	82359	30771
728	82472	30658
729	82579	30543
730	82690	30429
731	82808	30317
732	82919	30203
733	83042	30094
734	83147	29978
735	83256	29863
736	83373	29752
737	83486	29638
738	83589	29521
739	83699	29407
740	83803	29291
741	83916	29178
742	84025	29064
743	84140	28951
744	84255	28838
